date,state,totalTestResultsIncrease,totalTestResults,positiveIncrease,positive,deathIncrease,death
2020-03-28,PA,4771,28005,533,2751.0,12,34.0
2020-03-28,TX,1594,25260,321,2052.0,4,27.0
2020-03-29,CA,1065,26257,1065,5708.0,22,123.0
2020-03-29,FL,4187,43316,483,4246.0,2,56.0
2020-03-29,NY,16426,172360,7195,59513.0,237,965.0
2020-03-29,PA,5450,33455,643,3394.0,4,38.0
2020-03-29,TX,500,25760,500,2552.0,7,34.0
2020-03-30,CA,739,26996,739,6447.0,10,133.0
2020-03-30,FL,10382,53698,1227,5473.0,7,63.0
2020-03-30,NY,14108,186468,6984,66497.0,253,1218.0
2020-03-30,PA,4409,37864,693,4087.0,11,49.0
2020-03-30,TX,10120,35880,325,2877.0,0,34.0
2020-03-31,CA,2258,29254,1035,7482.0,20,153.0
2020-03-31,FL,6925,60623,865,6338.0,14,77.0
2020-03-31,NY,18718,205186,9298,75795.0,332,1550.0
2020-03-31,PA,4624,42488,756,4843.0,14,63.0
2020-03-31,TX,7112,42992,389,3266.0,7,41.0
2020-04-01,CA,673,29927,673,8155.0,18,171.0
2020-04-01,FL,5861,66484,617,6955.0,10,87.0
2020-04-01,NY,15694,220880,7917,83712.0,391,1941.0
2020-04-01,PA,5744,48232,962,5805.0,11,74.0
2020-04-01,TX,4865,47857,731,3997.0,17,58.0
2020-04-02,CA,3073,33000,1036,9191.0,32,203.0
2020-04-02,FL,10812,77296,1055,8010.0,41,128.0
2020-04-02,NY,18085,238965,8669,92381.0,432,2373.0
2020-04-02,PA,6482,54714,1211,7016.0,16,90.0
2020-04-02,TX,2822,50679,672,4669.0,12,70.0
2020-04-03,CA,2300,35300,1510,10701.0,34,237.0
2020-04-03,FL,14426,91722,1575,9585.0,35,163.0
2020-04-03,NY,21555,260520,10482,102863.0,562,2935.0
2020-04-03,PA,7401,62115,1404,8420.0,12,102.0
2020-04-03,TX,5085,55764,661,5330.0,20,90.0
2020-04-04,CA,78400,113700,1325,12026.0,39,276.0
2020-04-04,FL,10345,102067,1526,11111.0,28,191.0
2020-04-04,NY,23101,283621,10841,113704.0,630,3565.0
2020-04-04,PA,7915,70030,1597,10017.0,34,136.0
2020-04-04,TX,7987,63751,780,6110.0,15,105.0
2020-04-05,CA,2833,116533,1412,13438.0,43,319.0
2020-04-05,FL,11337,113404,1040,12151.0,27,218.0
2020-04-05,NY,18659,302280,8327,122031.0,594,4159.0
2020-04-05,PA,7741,77771,1493,11510.0,14,150.0
2020-04-05,TX,7187,70938,702,6812.0,22,127.0
2020-04-06,CA,898,117431,898,14336.0,24,343.0
2020-04-06,FL,9870,123274,1173,13324.0,18,236.0
2020-04-06,NY,18531,320811,8658,130689.0,599,4758.0
2020-04-06,PA,6083,83854,1470,12980.0,12,162.0
2020-04-06,TX,14419,85357,464,7276.0,13,140.0
2020-04-07,CA,13798,131229,1529,15865.0,31,374.0
2020-04-07,FL,14888,138162,1423,14747.0,60,296.0
2020-04-07,NY,19247,340058,8174,138863.0,731,5489.0
2020-04-07,PA,7424,91278,1579,14559.0,78,240.0
2020-04-07,TX,3292,88649,986,8262.0,14,154.0
2020-04-08,CA,13035,144264,1092,16957.0,68,442.0
2020-04-08,FL,4972,143134,708,15455.0,13,309.0
2020-04-08,NY,25095,365153,10453,149316.0,779,6268.0
2020-04-08,PA,7260,98538,1680,16239.0,69,309.0
2020-04-08,TX,7609,96258,1091,9353.0,23,177.0
2020-04-09,CA,19236,163500,1352,18309.0,50,492.0
2020-04-09,FL,9415,152549,909,16364.0,45,354.0
2020-04-09,NY,26396,391549,10621,159937.0,799,7067.0
2020-04-09,PA,7064,105602,1989,18228.0,29,338.0
2020-04-09,TX,9876,106134,877,10230.0,22,199.0
2020-04-10,CA,1363,164863,1163,19472.0,49,541.0
2020-04-10,FL,10281,162830,1167,17531.0,36,390.0
2020-04-10,NY,26336,417885,10575,170512.0,777,7844.0
2020-04-10,PA,7417,113019,1751,19979.0,78,416.0
2020-04-10,TX,9584,115718,1441,11671.0,27,226.0
2020-04-11,CA,8356,173219,1143,20615.0,68,609.0
2020-04-11,FL,10103,172933,963,18494.0,48,438.0
