NTA Code,NTA Name,PERCENT_WHITE,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_FOREIGN_BORN,PERCENT_BELOW_POVERTY
BK09,Brooklyn Heights-Cobble Hill,0.6246919394082097,0.1504905423436151,0.1313083745388902,0.13452633231300526,0.21025037281218115,0.04065614943881956
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.5078468371033436,0.2808753480451941,0.1507006926387003,0.08284050900890536,0.47812780449639875,0.06955151068872678
BK19,Brighton Beach,0.6098077013493818,0.16380647891297193,0.11530866519347407,0.11070102026423433,0.6446236306361371,0.15094738821759368
BK21,Seagate-Coney Island,0.2948420015660916,0.4181211952815176,0.059385182752784864,0.3303063982419359,0.35027406602844224,0.06693778574856653
BK23,West Brighton,0.8627201357946106,0.08731169106726076,0.011510715043496711,0.06784426055590918,0.6190324633991089,0.11484192658603862
BK25,Homecrest,0.456290377224033,0.3358800920571502,0.08372761364034627,0.1665323193027956,0.44423416161403756,0.08414817930116006
BK26,Gravesend,0.32469481505884074,0.3964750452973151,0.1586046596753235,0.17092186899467413,0.43926499386884826,0.05717527773202291
BK27,Bath Beach,0.3809785534816942,0.20185750179468773,0.21752736898779612,0.2956635857860732,0.3983309404163676,0.05628589375448672
BK28,Bensonhurst West,0.32512233201957313,0.26831172292987565,0.22336303573808572,0.22947011671521866,0.4065135850421736,0.0506749681079949
BK29,Bensonhurst East,0.2998783839277253,0.34294152951953755,0.23063619420665255,0.16493192658811637,0.47637173452948794,0.05080235019111097
BK30,Dyker Heights,0.3887597909144568,0.21693422738850454,0.1711927766581409,0.28595053627357664,0.35223363129264,0.04712932781018521
BK31,Bay Ridge,0.6378559835758576,0.09166447030753652,0.1309353715546061,0.22294386106063338,0.27890246778287947,0.06636241312821652
BK32,Sunset Park West,0.4826930450913538,0.11489434466748884,0.16134330987740042,0.4150974682101292,0.3723327080720881,0.061522597494118744
BK33,Carroll Gardens-Columbia Street-Red Hook,0.5706190394844577,0.14682822523164646,0.08220283571803043,0.2752484345823295,0.2468382391922857,0.05016405223753115
BK34,Sunset Park East,0.4300819856538186,0.07394928085972448,0.30479095489481034,0.2603188389115319,0.4379823262579069,0.054261213513244845
BK35,Stuyvesant Heights,0.3662205774148193,0.2512220708546118,0.07828538541674256,0.507594687725382,0.40951940378969454,0.04579760612528867
BK37,Park Slope-Gowanus,0.6095552235613168,0.12504873529746646,0.08970054963064683,0.2585092691948066,0.26155587221518745,0.05395213072445667
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.48569912010289285,0.1851254516873201,0.11819066478846403,0.29078796044886324,0.25981803210637705,0.0486631416341724
BK40,Windsor Terrace,0.6664152840623428,0.145335057099763,0.09888314300079006,0.14865689865689866,0.2625870861164979,0.05349062702003878
BK41,Kensington-Ocean Parkway,0.40032633770325776,0.193908362872522,0.2402895778240402,0.16969560569403028,0.4494082784748401,0.0730133723438174
BK42,Flatbush,0.23423016472160688,0.5032548296474141,0.1041297971609965,0.20346398029776122,0.4067980149251884,0.033439352499288394
BK43,Midwood,0.5884943326866129,0.18459614010007147,0.12836975390585112,0.1323011334626774,0.3952185234351067,0.11565659144286736
BK44,Madison,0.46993968382894874,0.19689243866853182,0.2034655475835928,0.12979257855391604,0.48277003143660785,0.05192304799723237
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.556150072241716,0.3025419557658416,0.07401997364368162,0.10385342076433324,0.32035628661702364,0.03107187653811346
BK46,Ocean Parkway South,0.36993459587766186,0.32968459160846325,0.14271077033419285,0.17939172458546082,0.39703546850185284,0.06654826755921378
BK50,Canarsie,0.09020635816583275,0.8179226419968046,0.033503305366077665,0.0957551637375989,0.43167793967108975,0.02050187989706009
BK58,Flatlands,0.15921899686372532,0.741882236423232,0.043412644138939326,0.08357110854340086,0.4305892895040913,0.014997523993680288
BK60,Prospect Lefferts Gardens-Wingate,0.20433647703870825,0.6489631019058987,0.04189566745805842,0.14696276086414733,0.44271154426328424,0.048978842294423966
BK61,Crown Heights North,0.28040963033573246,0.42490402021915746,0.06087173253342895,0.3552694867377369,0.38003183292959153,0.04352540949915608
BK63,Crown Heights South,0.4260024572768904,0.4906362857887486,0.024963699318664136,0.11804236941062586,0.3261104285341971,0.06362857887486503
BK64,Prospect Heights,0.5690762674688224,0.21968415115623238,0.0819702951682647,0.23068245910885504,0.2630193645422072,0.058171962148273484
BK68,Fort Greene,0.522539210055893,0.19485719370050716,0.11617824296888271,0.24225707560523826,0.2787614556455201,0.0427165147335981
BK69,Clinton Hill,0.42377553895067277,0.2740096320244691,0.07655313040795246,0.35758555464631153,0.32656319171484915,0.06311122439397394
BK72,Williamsburg,0.8610410094637224,0.047025687246507436,0.024718341595313203,0.20193780982424517,0.1901532221721496,0.38289770166741777
BK73,North Side-South Side,0.7199856179383533,0.04560856822218106,0.08182521436898704,0.39377431058715856,0.317560279360652,0.11067650167245945
BK75,Bedford,0.3541365782708007,0.2043825775811149,0.10311143888257246,0.4950031923574621,0.40722531215110264,0.07848419356270507
BK76,Greenpoint,0.7746481323613842,0.02816680874754258,0.09902747090241654,0.23652116425129177,0.35216339880652064,0.08037718123140625
BK77,Bushwick North,0.375938184700014,0.16667055148944104,0.07862104330800429,0.6402615262691717,0.4186285021677311,0.0909747797305487
BK78,Bushwick South,0.312947684576689,0.20493330588502326,0.0754564601181333,0.6206432405897164,0.3865408267219856,0.06670467201908713
